"","logFC.populationSTDI","logFC.populationSTGL2","logFC.populationSTGL3","logFC.populationSTIN","logFC.populationSTPO1","logFC.populationSTTO.BH","logCPM","LR","PValue","FDR"
"Sdiv_ptg000010l_2817-R",-1.94397201442508,0.872003580314242,-0.387676282227289,0.44610154135791,-9.62562341512185,-0.998635484476407,6.70532026537312,835.050679659469,4.10643408682423e-177,8.77609802787288e-174
"Sdiv_ptg000014l_1044-R",0.392735261210104,-2.29601716660036,-3.4196455212613,-5.58372388240015,0.453982825866666,1.26630468800226,6.65135990792113,834.630712849853,5.06085148949985e-177,1.02750467791316e-173
"Sdiv_ptg000013l_0476-R",4.37495649359561,-1.01109660299425,-1.68584710339624,-0.968070838167252,-3.22799683801756,0.800960749205356,10.1522088536528,828.51630237216,1.06066859811114e-175,2.05092900451909e-172
"Sdiv_ptg000012l_0986-R",4.17332996111021,-1.37113391375557,-8.16200464215699,-8.16200464215699,-8.16200464215699,3.23164593351252,4.71426053894201,828.095844051985,1.30749860372146e-175,2.41328583194152e-172
"Sdiv_ptg000010l_0352-R",-1.08004329232076,2.29916902777843,2.39409921648429,1.50086835310798,-1.91555407600719,-2.26508634134257,7.52919243235345,803.587534285541,2.5841768475584e-170,4.5623080466068e-167
"Sdiv_ptg000005l_1024-R",6.56112974568906,2.13146428736347,7.6346940938581,5.5711374564407,-1.82777926644102,7.11638210114485,4.8332657885716,796.242418317755,9.98477028216774e-169,1.68933992532376e-165
"Sdiv_ptg000010l_2603-R",1.1307978583461,-3.76868184556438,-6.90849654232257,-8.61659580606238,-6.92231388454498,-1.93586829897848,4.51760814054625,793.289043089778,4.33946084119243e-168,7.04832587669839e-165
"Sdiv_ptg000005l_1436-R",2.51923690854242,-1.42624668959105,1.54773552435285,1.13644935523498,3.59664441766373,1.11056994951443,6.67725095915951,786.367917050612,1.3575227985643e-166,2.12013733686547e-163
"Sdiv_ptg000001l_0971-R",7.14173000580097,8.43075214180038,6.54792991826579,5.85350194871365,8.81192750484934,7.21763175064876,7.9967818230806,784.04648503278,4.30802566445619e-166,6.47895148632993e-163
"Sdiv_ptg000010l_1394-R",-2.86997257338534,-0.462867139928746,-0.171319915982514,-0.184434293727104,-12.1626717737554,-3.57870744044949,5.82978145864341,776.200341690001,2.13468152864371e-164,3.09574564828952e-161
"Sdiv_ptg000014l_0169-R",3.3312331335793,-2.80665038182016,-8.36845124403623,-8.36845124403623,-6.72235876974263,2.46251903828531,4.14635462748911,767.239250544941,1.84140541218854e-162,2.57834855749407e-159
"Sdiv_ptg000001l_1293-R",0.442519725363615,-4.33186959915022,-7.75129892115477,-2.60431385039913,-0.542002087162686,-0.258251718334394,5.50660553918961,758.882733403373,1.17559222981013e-160,1.59120326945567e-157
"Sdiv_ptg000004l_2011-R",-4.66282659021796,-7.66385374834633,-8.93620244234792,-12.2290295215417,-12.2290295215417,-8.72514995264697,3.99705273775632,746.158014382418,6.58787946492633e-158,8.62927205009028e-155
"Sdiv_ptg000004l_2267-R",0.505451142613143,0.0874032070224929,-0.518727331406242,-1.20660920688131,-8.53281975237231,0.262325823120642,6.92801528899202,742.958746258269,3.23396785789797e-157,4.10370308868141e-154
"Sdiv_ptg000009l_0327-R",-1.3082474494278,-5.08044587655949,-10.5460839714947,-10.5460839714947,1.7713308700898,1.28449025426114,4.82733894673768,742.337208931317,4.40530348394673e-157,5.42065918997397e-154
"Sdiv_ptg000010l_1189-R",0.472129348967505,-3.61152477554191,-2.82683144662876,-3.05764890549131,-11.9351115645783,-5.73722233578464,5.35562289637989,739.309870270839,1.98524541554082e-156,2.3709669218662e-153
"Sdiv_ptg000012l_0558-R",6.26058119412974,7.11108535104134,6.84334622339645,6.96749277844718,7.39756662543119,6.39777618240472,8.74259938295536,739.111409020501,2.19117441998698e-156,2.54213795708546e-153
"Sdiv_ptg000015l_0843-R",2.82078724775783,0.00382347720024994,-0.649336428804429,-0.549398035603269,1.87943396304084,1.9217675631287,5.45016904359965,735.08417857774,1.62347701228312e-155,1.83119187668801e-152
"Sdiv_ptg000014l_2388-R",-1.37871845648823,-0.0597600837494942,0.962996030745666,0.583285408519076,-9.60102576168842,0.540651746359484,5.71188076815515,734.759111683974,1.90831638074032e-155,2.09429986368491e-152
"Sdiv_ptg000008l_0130-R",3.87909459384288,0.0581554687344048,1.87759865479908,-4.08452645672688,4.56745206514857,3.66875479511464,7.13439885274004,733.43552985367,3.68553649448276e-155,3.93828670776229e-152
"Sdiv_ptg000012l_0707-R",-0.707622717639101,4.57425301034665,4.75899528552362,3.08969364047605,3.56317000196588,3.18832338388311,7.057567229569,731.763436006185,8.46475153714899e-155,8.81332566455056e-152
"Sdiv_ptg000402l_0011-R",7.88523373533847,1.787675641821,-3.95539627792026,-3.95539627792026,-2.28881026491896,2.75115820987437,4.06471829546891,729.7284300477,2.32861605209407e-154,2.36389458528329e-151
"Sdiv_ptg000005l_1426-R",0.970395274148766,-4.24375606304465,-10.0541577732041,-10.0541577732041,-8.40661643819509,0.138001345318741,3.81257324468221,724.819727905652,2.67400745014576e-153,2.6483108907468e-150
"Sdiv_ptg000014l_2669-R",-2.43317654540319,5.65627261995987,6.01784596275794,4.97920971144825,5.70883418727519,-1.33848362829622,7.53742040232841,717.075480022637,1.25747769811426e-151,1.21574141451494e-148
"Sdiv_ptg000009l_2083-R",7.52911274585173,2.35309650267699,3.37560235691833,1.10934273519824,1.98141770457768,2.76510998876498,5.19730693813891,705.19285364023,4.62707678415297e-149,4.36946697435617e-146
"Sdiv_ptg000009l_0367-R",-1.28376872526674,-5.74195772350266,-6.4170371434821,-7.86211440184577,-2.31092580495501,-2.96490136448982,5.95108771667482,701.910237055351,2.36633762552652e-148,2.18380694595749e-145
"Sdiv_ptg000015l_0146-R",-4.72450963316217,-2.09475124542654,-0.460857276525268,-2.37747019165924,-6.08369605456892,-0.762940252068101,5.81476179131478,694.758515128085,8.282920128608e-147,7.47413899427237e-144
"Sdiv_ptg000027l_0067-R",-0.599459610164815,3.42603721433645,2.69709793161935,2.94118949054307,4.52984742565701,-2.77596805133923,7.03884360199031,694.110237249783,1.14326446335981e-146,1.00920427824323e-143
"Sdiv_ptg000010l_2361-R",1.0127303188543,-3.11859141486151,-7.53483697797025,-1.43665491821661,0.956417401871079,1.08340379098059,6.5266810163674,693.598205125637,1.47466691478937e-146,1.27404946259441e-143
"Sdiv_ptg000012l_1534-R",-0.156387951116326,-3.31742158145374,-7.86076339524016,-3.74281625684576,-2.65027599827795,-2.10980024915013,5.62696734787686,692.266231518074,2.85932501069416e-146,2.41886982050515e-143
"Sdiv_ptg000004l_0214-R",-0.773911435277356,-0.0270154715559363,-0.912128518234344,-8.42873042050879,-2.004529892653,-1.64578727813323,6.71709123777316,692.08951245163,3.12188185241809e-146,2.58708437753651e-143
"Sdiv_ptg000009l_0427-R",-2.27879864435245,-3.69797806859628,-4.65723648624559,-3.59528976049558,-6.22596560933533,-2.6505896233777,6.69621811911579,688.500442275728,1.85896042597206e-145,1.50969894114043e-142
"Sdiv_ptg000007l_1811-R",0.507831797594217,-4.48765071193275,-7.59334072110789,-11.4135809090265,-6.31630726341776,-0.0822725260264519,4.83651038127416,686.63702092221,4.69418045434955e-145,3.73748806920231e-142
"Sdiv_ptg000014l_0862-R",-0.815262778955941,-4.30459639978515,-3.58115391328422,-5.01618779214697,-4.72417158508148,-3.9493908708677,7.52121180151048,684.663732009162,1.25187662682553e-144,9.77571198247645e-142
"Sdiv_ptg000007l_1635-R",-2.52374128213502,2.43995250773276,1.14471756688484,1.05717522703535,-0.946487669272771,-2.84305989720786,6.78311035031671,681.22670896196,6.91103499454967e-144,5.29489598091857e-141
"Sdiv_ptg000009l_1914-R",6.97902949292056,1.01897089258234,-3.55384593951487,-3.55384593951487,7.1076369121773,5.81907806654551,3.71369018352578,679.905476423206,1.33279634263609e-143,1.00221348683484e-140
